EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,DATE_OF_BIRTH,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,,,muser@email.com,650.507.9833,21-JUN-07,SH_CLERK,2600, - ,124,50
199,Douglas,Grant,muser@email.com,650.507.9844,13-JAN-08,SH_CLERK,2600, - ,124,50
200,Jennifer,Whalen,,515.123.4444,17-SEP-03,AD_ASST,4400, - ,101,10
201,Michael,Hartstein,EMAIL,515.123.5555,17-FEB-04,MK_MAN,13000, - ,100,20
202,Pat,Fay,muser@email.com,603.123.6666,17-AUG-05,MK_REP,6000, - ,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,07-JUN-02,HR_REP,6500, - ,101,40
204,Hermann,Baer,muser@email.com,515.123.8888,07-JUN-02,PR_REP,10000, - ,101,70
205,Shelley,Higgins,muser@email.com,515.123.8080,07-JUN-02,AC_MGR,-12008, - ,101,110
206,William,Gietz,muser@email.com,515.123.8181,07-JUN-02,AC_ACCOUNT,0, - ,205,110
100,Steven,King,muser@email,515.123.4567,17-JUN-03,AD_PRES,xdcgfhvbj, - , - ,90
101,Neena,Kochhar,muser@email.com,515.123.4568,21-SEP-05,AD_VP,17000, - ,100,90
198,,,muser@email.com,650.507.9833,21-JUN-07,SH_CLERK,2600, - ,124,50
